field,num_unique_values
http://www.wikidata.org/entity/Q11286895,1
http://www.wikidata.org/entity/Q11286896,1
http://www.wikidata.org/entity/Q11286959,1
http://www.wikidata.org/entity/Q11286960,1
http://www.wikidata.org/entity/Q11287115,1
http://www.wikidata.org/entity/Q11287234,1
http://www.wikidata.org/entity/Q11287341,1
http://www.wikidata.org/entity/Q11287429,1
http://www.wikidata.org/entity/Q11287457,1
http://www.wikidata.org/entity/Q11287555,1
http://www.wikidata.org/entity/Q11287566,1
http://www.wikidata.org/entity/Q11287578,1
http://www.wikidata.org/entity/Q11287579,1
http://www.wikidata.org/entity/Q11287603,1
http://www.wikidata.org/entity/Q11287612,1
http://www.wikidata.org/entity/Q11287633,1
http://www.wikidata.org/entity/Q11287793,1
http://www.wikidata.org/entity/Q11287797,1
http://www.wikidata.org/entity/Q11287863,1
http://www.wikidata.org/entity/Q11287915,1
http://www.wikidata.org/entity/Q11288068,1
http://www.wikidata.org/entity/Q11288094,1
http://www.wikidata.org/entity/Q11288178,1
http://www.wikidata.org/entity/Q11288318,1
http://www.wikidata.org/entity/Q11288331,1
http://www.wikidata.org/entity/Q11288343,1
http://www.wikidata.org/entity/Q11288372,1
http://www.wikidata.org/entity/Q11288379,1
http://www.wikidata.org/entity/Q11288384,1
http://www.wikidata.org/entity/Q11288390,1
http://www.wikidata.org/entity/Q11288432,1
http://www.wikidata.org/entity/Q11288444,1
http://www.wikidata.org/entity/Q11288445,1
http://www.wikidata.org/entity/Q11288447,1
http://www.wikidata.org/entity/Q11288587,1
http://www.wikidata.org/entity/Q11288643,1
http://www.wikidata.org/entity/Q11288767,1
http://www.wikidata.org/entity/Q11288908,1
http://www.wikidata.org/entity/Q11289004,1
http://www.wikidata.org/entity/Q11289014,1
http://www.wikidata.org/entity/Q11289088,1
http://www.wikidata.org/entity/Q11289089,1
http://www.wikidata.org/entity/Q11289424,1
http://www.wikidata.org/entity/Q11289428,1
http://www.wikidata.org/entity/Q11289432,1
http://www.wikidata.org/entity/Q11289434,1
http://www.wikidata.org/entity/Q11289435,1
http://www.wikidata.org/entity/Q11289439,1
http://www.wikidata.org/entity/Q11289442,1
http://www.wikidata.org/entity/Q11289444,1
http://www.wikidata.org/entity/Q11289445,1
http://www.wikidata.org/entity/Q11289452,1
http://www.wikidata.org/entity/Q11289486,1
http://www.wikidata.org/entity/Q11289546,1
http://www.wikidata.org/entity/Q11289547,1
http://www.wikidata.org/entity/Q11289548,1
http://www.wikidata.org/entity/Q11289549,1
http://www.wikidata.org/entity/Q11289550,1
http://www.wikidata.org/entity/Q11289551,1
http://www.wikidata.org/entity/Q11289552,1
http://www.wikidata.org/entity/Q11289553,1
http://www.wikidata.org/entity/Q11289554,1
http://www.wikidata.org/entity/Q11289555,1
http://www.wikidata.org/entity/Q11289556,1
http://www.wikidata.org/entity/Q11289557,1
http://www.wikidata.org/entity/Q11289559,1
http://www.wikidata.org/entity/Q11289561,1
http://www.wikidata.org/entity/Q11289562,1
http://www.wikidata.org/entity/Q11289563,1
http://www.wikidata.org/entity/Q11289564,1
http://www.wikidata.org/entity/Q11289572,1
http://www.wikidata.org/entity/Q11289584,1
http://www.wikidata.org/entity/Q11289595,1
http://www.wikidata.org/entity/Q11289602,1
